,Query,A,B,C,ID_ABC,ID_AB,ID_A,ID
358,戸籍って、本籍の市役所以外だと取れない？,119 1131 386,213 19 153,,"['119', '1131', '386', '213', '19', '153']","['119', '1131', '386', '213', '19', '153']","['119', '1131', '386']","['119', '1131', '386', '213', '19', '153']"
359,こども食堂の活動に興味があります。ボランティアとして参加したいのですがこの地域での活動はありますか。,,,734 230,"['734', '230']",[],[],"['734', '230']"
360,インフルエンザなどの予防接種が無料で受けられると聞いたのですが、どの場合に該当しますか？,352 661 328 600,441,1004 717 606 269 1253,"['352', '661', '328', '600', '441', '1004', '717', '606', '269', '1253']","['352', '661', '328', '600', '441']","['352', '661', '328', '600']","['352', '661', '328', '600', '441', '1004', '717', '606', '269', '1253']"
361,転入したいのだけれど手続きはどうすればいい？,2,42 651,748 494,"['2', '42', '651', '748', '494']","['2', '42', '651']",['2'],"['2', '42', '651', '748', '494']"
362,子供が通う小学校はどこかどうすればわかりますか。,221,,1313,"['221', '1313']",['221'],['221'],"['221', '1313']"
363,生ごみ処理機の購入を考えているのですが、どの商品を購入しても助成金の対象になりますか？,257,,,['257'],['257'],['257'],['257']
364,出していたゴミ袋をカラスが破り、道路に散らかっているようです。どうしたらいいでしょうか？,185 511,,,"['185', '511']","['185', '511']","['185', '511']","['185', '511']"
365,引っ越ししてきたけれど、何から始めればいい？,2 138,651 121,24,"['2', '138', '651', '121', '24']","['2', '138', '651', '121']","['2', '138']","['2', '138', '651', '121', '24']"
366,市役所は土日は開いていますか,42,1597,,"['42', '1597']","['42', '1597']",['42'],"['42', '1597']"
367,無料の健康診断って市役所に問い合わせるの？,249,,574 936 1144 774 939 433,"['249', '574', '936', '1144', '774', '939', '433']",['249'],['249'],"['249', '574', '936', '1144', '774', '939', '433']"
368,廃品回収に、衣類は出せるのか出せないのか。,1784,,,['1784'],['1784'],['1784'],['1784']
369,庭先でシロアリっぽいのを見つけたんですけど、駆除ってしてもらえますか？,727 1117,,,"['727', '1117']","['727', '1117']","['727', '1117']","['727', '1117']"
370,体温計や電池などの有害ごみはどうしたらいいですか？,1784,3,,"['1784', '3']","['1784', '3']",['1784'],"['1784', '3']"
371,仕事を辞めたので税金が払えそうに無いのですがどうしたらいいですか？,79,874,345 699 615,"['79', '874', '345', '699', '615']","['79', '874']",['79'],"['79', '874', '345', '699', '615']"
372,家族に不幸がありました。自治体から葬祭費をいただけると聞いたのですが本当ですか？,193 488,175,,"['193', '488', '175']","['193', '488', '175']","['193', '488']","['193', '488', '175']"
373,猫を拾ったんですけど、どこに連れていけばいいですか？,1670,,,['1670'],['1670'],['1670'],['1670']
374,子ども手当は何か月ごとに振り込まれるのですか。,1268,,742,"['1268', '742']",['1268'],['1268'],"['1268', '742']"
375,大型ゴミって燃えないゴミの日に出してもいいの？,1784,,,['1784'],['1784'],['1784'],['1784']
376,就学児童補助はどのようなものがありますか？,742,,,['742'],['742'],['742'],['742']
377,市民税の納付期限が切れていることに気づいたのですが、期限後でも支払うことはできますか？,543,794 563,706 88,"['543', '794', '563', '706', '88']","['543', '794', '563']",['543'],"['543', '794', '563', '706', '88']"
378,国民健康保険証を失くしてしまったから、再発行して欲しいんやけど？,155,,436,"['155', '436']",['155'],['155'],"['155', '436']"
379,子どもが生まれるのでチャイルドシートを購入したいのですが助成金などはありますか？,,,1749,['1749'],[],[],['1749']
380,健康診断のようなものはありますか。,165 129 464,4,574 1212 609,"['165', '129', '464', '4', '574', '1212', '609']","['165', '129', '464', '4']","['165', '129', '464']","['165', '129', '464', '4', '574', '1212', '609']"
381,ビデオテープってプラスチックゴミになるんですか？,1784,,,['1784'],['1784'],['1784'],['1784']
382,ボランティアがしたいのですが、どんなものがありますか？,392 228 734,230,1057,"['392', '228', '734', '230', '1057']","['392', '228', '734', '230']","['392', '228', '734']","['392', '228', '734', '230', '1057']"
383,駅前の自転車の列が酷くて歩行しにくいので困っています、何処に言えばよいですか？,802 723,304 894 710 357 758,,"['802', '723', '304', '894', '710', '357', '758']","['802', '723', '304', '894', '710', '357', '758']","['802', '723']","['802', '723', '304', '894', '710', '357', '758']"
384,パートの収入にかかる税金について教えてください,95 40,178,561,"['95', '40', '178', '561']","['95', '40', '178']","['95', '40']","['95', '40', '178', '561']"
385,軒先にスズメバチが巣を作っているのですが、対処していただけますか？,177,1594,1117,"['177', '1594', '1117']","['177', '1594']",['177'],"['177', '1594', '1117']"
386,住民票などの公的書類を役所以外でも扱ってる所はありますか？,213,62 403,396,"['213', '62', '403', '396']","['213', '62', '403']",['213'],"['213', '62', '403', '396']"
387,昔の古い携帯電話がたくさんあります。処分したいのですが中身のデータも気になります。どのように処分したらいいですか？,1784,,,['1784'],['1784'],['1784'],['1784']
388,下水のにおいが臭くて困ってるんですが、何処に言えばよいですか？,1448 697,,,"['1448', '697']","['1448', '697']","['1448', '697']","['1448', '697']"
389,保育園の受け入れる子供の空き状況を知るにはどうしたら良いですか？,1225,908 674 1445,,"['1225', '908', '674', '1445']","['1225', '908', '674', '1445']",['1225'],"['1225', '908', '674', '1445']"
390,農作業で出たごみを野焼きせずに引き取ってもらうにはどうすればよいですか？,1784,,,['1784'],['1784'],['1784'],['1784']
391,子どもに発達障害が疑われます。どこで診断してもらうのがいいでしょうか。,631,715,195,"['631', '715', '195']","['631', '715']",['631'],"['631', '715', '195']"
392,昨年と比べて今年は収入が大きく減っているので市民税を払うのが大変なのですが、減免措置などはありますか？,79,678 331,,"['79', '678', '331']","['79', '678', '331']",['79'],"['79', '678', '331']"
393,ペットボトルは潰して出すの？それともそのまま出すの？,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
394,ドラム缶って燃えないゴミ？缶？,1784 1784,63,,"['1784', '1784', '63']","['1784', '1784', '63']","['1784', '1784']","['1784', '1784', '63']"
395,捨て猫にエサをやることは違法でしょうか？,94,,,['94'],['94'],['94'],['94']
396,自治会の会費は支払う必要はあるのでしょうか？,,,1316 962,"['1316', '962']",[],[],"['1316', '962']"
397,ハチの巣、駆除はどうするんだったかな？,177,1117 727,1594,"['177', '1117', '727', '1594']","['177', '1117', '727']",['177'],"['177', '1117', '727', '1594']"
398,子供が小学生になりますが何をしたらいいですか。,1392,,,['1392'],['1392'],['1392'],['1392']
399,土日祝日に住民票がどうしても必要になりました。窓口は閉まっていると思いますが、どうにか手に入れる方法はありませんか？,213,517,1426 1254 1597,"['213', '517', '1426', '1254', '1597']","['213', '517']",['213'],"['213', '517', '1426', '1254', '1597']"
400,役立つ講演などを知りたい。,1235 927,,1321,"['1235', '927', '1321']","['1235', '927']","['1235', '927']","['1235', '927', '1321']"
401,ハザードマップはどこで確認できますか？,373,295 312,690 1048,"['373', '295', '312', '690', '1048']","['373', '295', '312']",['373'],"['373', '295', '312', '690', '1048']"
402,市長にメールなどで意見することって可能ですか？,449,1320,43 676,"['449', '1320', '43', '676']","['449', '1320']",['449'],"['449', '1320', '43', '676']"
403,自治会費はどのぐらいかかるのでしょうか？,,,1316 962,"['1316', '962']",[],[],"['1316', '962']"
404,町内会の加入は必須ですか？,,,617 492,"['617', '492']",[],[],"['617', '492']"
405,家の前の電柱が、少し傾いてきました。,,,1170 1062 1050,"['1170', '1062', '1050']",[],[],"['1170', '1062', '1050']"
406,生活保護を受けたいのですが。,298,,243,"['298', '243']",['298'],['298'],"['298', '243']"
407,防災マップは配布してもらえますか？,373,,690 382,"['373', '690', '382']",['373'],['373'],"['373', '690', '382']"
408,大人の引きこもりの相談窓口はありますか？,311,,,['311'],['311'],['311'],['311']
409,古雑誌が大量に出てきたのですが、普通ゴミで出して良いですか？,1784,1391,,"['1784', '1391']","['1784', '1391']",['1784'],"['1784', '1391']"
410,公園の雑草、どうするんだったかな？,1210 1273,,,"['1210', '1273']","['1210', '1273']","['1210', '1273']","['1210', '1273']"
411,妊娠した。どこで何をすればよいのか？,370 198 306,281,963,"['370', '198', '306', '281', '963']","['370', '198', '306', '281']","['370', '198', '306']","['370', '198', '306', '281', '963']"
412,近所の公園に置き去りになっている粗大ゴミはどこに連絡すれば撤去してもらえるのか。,1339,1391,,"['1339', '1391']","['1339', '1391']",['1339'],"['1339', '1391']"
413,捨て猫をペットとして飼う場合は、どこにどんな手続きが必要でしょうか。,,1342,,['1342'],['1342'],[],['1342']
414,粗大ごみ回収はどうすればいいのでしょうか？,1784,,,['1784'],['1784'],['1784'],['1784']
415,放置自転車の処分はその後どうなっていますか？,290,225 432 383,357 304 758 710 730,"['290', '225', '432', '383', '357', '304', '758', '710', '730']","['290', '225', '432', '383']",['290'],"['290', '225', '432', '383', '357', '304', '758', '710', '730']"
416,年金の質問、どうするんだったかな？,469,834,314 712 354,"['469', '834', '314', '712', '354']","['469', '834']",['469'],"['469', '834', '314', '712', '354']"
417,子供が転校しますがどうすればいいですか。,406,,,['406'],['406'],['406'],['406']
418,ハチの巣駆除に関して、市の援助はありますか？,177,1117 727,,"['177', '1117', '727']","['177', '1117', '727']",['177'],"['177', '1117', '727']"
419,引越しのときに出たごみを処分したいんやけど？,1784,,,['1784'],['1784'],['1784'],['1784']
420,側溝の掃除は必ずしなければならないものですか？,,1672,,['1672'],['1672'],[],['1672']
421,市役所は何時まで受け付けていますか。,,,153,['153'],[],[],['153']
422,スズメバチが巣を作りそうなのですが、何か対処方法はありませんか？,177,,,['177'],['177'],['177'],['177']
423,一人暮らしの親と連絡が取れないが家まで様子を見に行ってもらえるか。,,,240,['240'],[],[],['240']
424,市役所の駐車場に停めることが出来ないのですがどうすればいいですか。,,,487 499,"['487', '499']",[],[],"['487', '499']"
425,市が管理していると思われる側溝の上の立体構造物が老朽化して危険なのですが市は何かしてくれますか？,,1155,,['1155'],['1155'],[],['1155']
426,下水の流れがわるくなっているので見に来てほしい。,1448,,697,"['1448', '697']",['1448'],['1448'],"['1448', '697']"
427,粗大ゴミで出せるものを把握したいのですが,1784,,,['1784'],['1784'],['1784'],['1784']
428,負傷したスズメを保護したのですが、治療後に引き続き飼うことは違法だと聞きました。本当でしょうか。,,838,,['838'],['838'],[],['838']
429,転入の手続きは、世帯主本人が出向かなければなりませんか？,2,,,['2'],['2'],['2'],['2']
430,障がい者手帳の申請、どうするんだったかな？,30,236,,"['30', '236']","['30', '236']",['30'],"['30', '236']"
431,子どもの発達障害について、どのようなサポートを受けることができますか？,631,536 715,195,"['631', '536', '715', '195']","['631', '536', '715']",['631'],"['631', '536', '715', '195']"
432,清掃ボランティアに参加するにはどうすればいいですか？,,230,,['230'],['230'],[],['230']
433,住民票の変更の手続きは郵送でもできるんやろか？,,517 1426,121,"['517', '1426', '121']","['517', '1426']",[],"['517', '1426', '121']"
434,ワンちゃんは保健所に届け出がいるけど、猫ちゃんはいらないの？,,1110,,['1110'],['1110'],[],['1110']
435,大人が健康のために利用出来る、公共のスポーツ施設などはありますか？,1569 1262,,,"['1569', '1262']","['1569', '1262']","['1569', '1262']","['1569', '1262']"
436,バーベキューができる公園はありますか？,1494,94,1660 1286,"['1494', '94', '1660', '1286']","['1494', '94']",['1494'],"['1494', '94', '1660', '1286']"
437,野良犬がいて困っています。どうすればいいですか。,,1134 1670 503 1499,,"['1134', '1670', '503', '1499']","['1134', '1670', '503', '1499']",[],"['1134', '1670', '503', '1499']"
438,国民健康保険の支払い方法を教えてください。,553 248,13 451,874,"['553', '248', '13', '451', '874']","['553', '248', '13', '451']","['553', '248']","['553', '248', '13', '451', '874']"
439,障害を持った子供が学校に通い始める場合、どうしたらいいですか。,916 1488,,,"['916', '1488']","['916', '1488']","['916', '1488']","['916', '1488']"
440,ボタン電池を捨てたいのですが、どのように廃棄すればよいですか？,1784,,,['1784'],['1784'],['1784'],['1784']
441,確定申告は兵庫県内ならどこの地域で行ってもいいのかな？,,339,1136 325 731,"['339', '1136', '325', '731']",['339'],[],"['339', '1136', '325', '731']"
442,たくさんの子どもたちが遊べるように公園に遊具を増やしてほしいのですが、どこに問い合わせれば良いですか？,1230,,,['1230'],['1230'],['1230'],['1230']
443,住民票が欲しい時は何が必要なの？,150,517 1426,447 62 1056,"['150', '517', '1426', '447', '62', '1056']","['150', '517', '1426']",['150'],"['150', '517', '1426', '447', '62', '1056']"
444,粗大ごみの処理、どうするんだったかな？,1784,1391,,"['1784', '1391']","['1784', '1391']",['1784'],"['1784', '1391']"
445,戸籍謄本はどこの役所でもとれますか。,119 1131 386,153 42,883 19,"['119', '1131', '386', '153', '42', '883', '19']","['119', '1131', '386', '153', '42']","['119', '1131', '386']","['119', '1131', '386', '153', '42', '883', '19']"
446,国民健康保険に加入していて海外でケガや病気になった場合、後から請求できますか？,,488 562 419,,"['488', '562', '419']","['488', '562', '419']",[],"['488', '562', '419']"
447,市役所で弁護士の無料法律相談の予約はできるんですか？,1524 1120 1258 649 743 938 686 1328,1304 1156,937,"['1524', '1120', '1258', '649', '743', '938', '686', '1328', '1304', '1156', '937']","['1524', '1120', '1258', '649', '743', '938', '686', '1328', '1304', '1156']","['1524', '1120', '1258', '649', '743', '938', '686', '1328']","['1524', '1120', '1258', '649', '743', '938', '686', '1328', '1304', '1156', '937']"
448,資源ごみの種類の分け方と出し方についてお聞きしたいです。,1784,,,['1784'],['1784'],['1784'],['1784']
449,カーブミラーの設置をお願いしたいんですがどうすればよいですか？,,,1084,['1084'],[],[],['1084']
450,マイナンバーカードの顔写真付きのものを申請したいが、発行までにどのくらいの時間がかかりますか？必要なものは何ですか？,,692,969 902,"['692', '969', '902']",['692'],[],"['692', '969', '902']"
451,水道料金の計算はどのようになっていますか？,,,677,['677'],[],[],['677']
452,ボランティアへの参加、どうするんだったかな？,230,,734 228 392,"['230', '734', '228', '392']",['230'],['230'],"['230', '734', '228', '392']"
453,テレビを捨てたいのですか、大型ゴミとして処分することは可能ですか？,1784,,,['1784'],['1784'],['1784'],['1784']
454,空地の清掃は？,1296,,,['1296'],['1296'],['1296'],['1296']
455,ペットボトルはキャップとラベルを分けて分別しないといけないですか？,1784,63,,"['1784', '63']","['1784', '63']",['1784'],"['1784', '63']"
456,納税証明書が必要なのですが、どこで入手できますか？,15,,122 182 137 10,"['15', '122', '182', '137', '10']",['15'],['15'],"['15', '122', '182', '137', '10']"
457,消費生活センターでは、どのような相談にのってもらえるん？,741 68,,551,"['741', '68', '551']","['741', '68']","['741', '68']","['741', '68', '551']"
458,所得が一定額以下の人に与えられる臨時給付金のような制度はありますか？,,411 481,504,"['411', '481', '504']","['411', '481']",[],"['411', '481', '504']"
459,家電の中で粗大ごみに出せないものは？,1784,1391,,"['1784', '1391']","['1784', '1391']",['1784'],"['1784', '1391']"
460,夏祭りの屋台出店の許可はどこへ提出しに行けばいいですか。,1058,,,['1058'],['1058'],['1058'],['1058']
461,寄付金をしたいのですが、どうすればいいでしょう？,65,,566 1504 1366,"['65', '566', '1504', '1366']",['65'],['65'],"['65', '566', '1504', '1366']"
462,災害の時の避難場所は？,106 203 130 147 295 312 382,,,"['106', '203', '130', '147', '295', '312', '382']","['106', '203', '130', '147', '295', '312', '382']","['106', '203', '130', '147', '295', '312', '382']","['106', '203', '130', '147', '295', '312', '382']"
463,住民税を払い忘れていました。後から払うにはどうしたら良いでしょうか？,543,,,['543'],['543'],['543'],['543']
464,河川の雑草の手入れを依頼するにはどうすればよいですか？,,,313,['313'],[],[],['313']
465,２０歳になった子供の国民年金の手続きは役所の何課に行けばよいか。,314,83 712,,"['314', '83', '712']","['314', '83', '712']",['314'],"['314', '83', '712']"
466,公園がいつもゴミだらけなのですが対応してもらえますか。,1339,1155 1243,,"['1339', '1155', '1243']","['1339', '1155', '1243']",['1339'],"['1339', '1155', '1243']"
467,住基カードがあればコンビニなどで住民票を取得できますか？,213,444,,"['213', '444']","['213', '444']",['213'],"['213', '444']"
468,税金の振込口座を変更したいんやけど。,402,507 88,,"['402', '507', '88']","['402', '507', '88']",['402'],"['402', '507', '88']"
469,児童手当の振込口座を変更することはできますか？,229,222 91,1490,"['229', '222', '91', '1490']","['229', '222', '91']",['229'],"['229', '222', '91', '1490']"
470,コンビニではどんな公文書が発行できますか。,213,,275,"['213', '275']",['213'],['213'],"['213', '275']"
471,猫の里親になりたいのですが、近くで譲渡会などやってますか？,,1342,,['1342'],['1342'],[],['1342']
472,粗大ゴミの出し方はどうするの？,1784,,,['1784'],['1784'],['1784'],['1784']
473,スポーツできるところなどの公共施設を教えてほしい,1569 1262,,,"['1569', '1262']","['1569', '1262']","['1569', '1262']","['1569', '1262']"
474,祭りなどの地域行事を知るためには広報以外に何かありますか？,256 456 679,,,"['256', '456', '679']","['256', '456', '679']","['256', '456', '679']","['256', '456', '679']"
475,子供が産まれたら何か届け出が必要ですか。,831 91 233 1175,886,897 889,"['831', '91', '233', '1175', '886', '897', '889']","['831', '91', '233', '1175', '886']","['831', '91', '233', '1175']","['831', '91', '233', '1175', '886', '897', '889']"
476,子供の医療補助金について教えてください,23 310 375,,80 394,"['23', '310', '375', '80', '394']","['23', '310', '375']","['23', '310', '375']","['23', '310', '375', '80', '394']"
477,路地の街灯が切れてしまいました。,1170,1602,1062 1050,"['1170', '1602', '1062', '1050']","['1170', '1602']",['1170'],"['1170', '1602', '1062', '1050']"
478,家庭ごみを直接、処理施設へ持ち込むことはできるんやったかな？,1391,,,['1391'],['1391'],['1391'],['1391']
479,「ふるさと納税」の返礼品を知りたい。,65,,189,"['65', '189']",['65'],['65'],"['65', '189']"
480,保護犬の里親になりたいのですが、どのようにすればいいですか？,,1134 514 1499,1342,"['1134', '514', '1499', '1342']","['1134', '514', '1499']",[],"['1134', '514', '1499', '1342']"
481,深夜に体調が悪い時に病院紹介してくれる窓口は？,28 784 850,,491 991,"['28', '784', '850', '491', '991']","['28', '784', '850']","['28', '784', '850']","['28', '784', '850', '491', '991']"
482,海外に行くのでしばらく家を空けるのですが、必要な手続きはなにがありますか？,385 143 671,,,"['385', '143', '671']","['385', '143', '671']","['385', '143', '671']","['385', '143', '671']"
483,保険証をなくしたのですがどうしたらいいですか。,436 155,,16,"['436', '155', '16']","['436', '155']","['436', '155']","['436', '155', '16']"
484,傘を廃棄したいのですが、普通ごみで大丈夫でしょうか,1784,,,['1784'],['1784'],['1784'],['1784']
485,バイクの廃車手続きはどうすればよいか。,191 92 167,,148,"['191', '92', '167', '148']","['191', '92', '167']","['191', '92', '167']","['191', '92', '167', '148']"
486,粗大ゴミってどうやって出したらええんかな？,1784,1391,,"['1784', '1391']","['1784', '1391']",['1784'],"['1784', '1391']"
487,街灯が消えているときは？,1170,1602 1062,1050,"['1170', '1602', '1062', '1050']","['1170', '1602', '1062']",['1170'],"['1170', '1602', '1062', '1050']"
488,市民税を滞納しており、一括での支払いは難しいので分割でのお支払いを相談したいです。どちらで相談出来ますか？,,79 563 543,88,"['79', '563', '543', '88']","['79', '563', '543']",[],"['79', '563', '543', '88']"
489,要介護度３で、特別養護老人ホームに入るのは難しいのでしょうか？,108,9,,"['108', '9']","['108', '9']",['108'],"['108', '9']"
490,子どもの小学校にクレームを入れるものの改善されない。直接、教育委員会に通報するのは非常識でしょうか？,221,,,['221'],['221'],['221'],['221']
491,家電の処分はどないするんですか。,1784,,,['1784'],['1784'],['1784'],['1784']
492,平日の遅い時間や休日に、戸籍や住民票とかの証明書が欲しいんやけど？,213 42,,89,"['213', '42', '89']","['213', '42']","['213', '42']","['213', '42', '89']"
493,発泡スチロールはどの様に処分をすればよいですか？,1784,,,['1784'],['1784'],['1784'],['1784']
494,平日は仕事で休みが取れないため、固定資産評価証明書を郵送してもらうことはできますか？,10,6 137,64,"['10', '6', '137', '64']","['10', '6', '137']",['10'],"['10', '6', '137', '64']"
495,家の前の電線に鳥が止まり、糞害で困っています。市役所で対応してもらえるのでしょうか？,268,185,,"['268', '185']","['268', '185']",['268'],"['268', '185']"
496,最近、カラスがゴミ収集場を荒らします。,185 511,,,"['185', '511']","['185', '511']","['185', '511']","['185', '511']"
497,危険な場所があるので信号をつけてほしいけどどうすれば良いの？,1084,,,['1084'],['1084'],['1084'],['1084']
498,野良猫が敷地内に入り込んで困っているので、捕獲してほしいのですが。,838,,,['838'],['838'],['838'],['838']
499,老人が無料で受けれるサービスを知りたい。,67,884,486 1682,"['67', '884', '486', '1682']","['67', '884']",['67'],"['67', '884', '486', '1682']"
500,先日の風の強い日に街路樹の葉がたくさん落ちました。掃除をしてまとめたのですがこういったごみはどうしたらいいのでしょうか。,1273,425,,"['1273', '425']","['1273', '425']",['1273'],"['1273', '425']"
501,引っ越しに伴う住所変更手続きはいつ行えば良いの？,2 138 8,204,,"['2', '138', '8', '204']","['2', '138', '8', '204']","['2', '138', '8']","['2', '138', '8', '204']"
502,引っ越して住所が変わりました、住所変更の手続きには何が必要ですか。,2 138,204,,"['2', '138', '204']","['2', '138', '204']","['2', '138']","['2', '138', '204']"
503,赤ちゃんマッサージのイベントが、開催される予定はありますか？,,110,572,"['110', '572']",['110'],[],"['110', '572']"
504,印鑑登録ってどこでどうやったらええんかな？,5,89,196 582,"['5', '89', '196', '582']","['5', '89']",['5'],"['5', '89', '196', '582']"
505,子育てに対する支援制度を知りたい。,162 200 0,,,"['162', '200', '0']","['162', '200', '0']","['162', '200', '0']","['162', '200', '0']"
506,時間外に婚姻届を出したいときはどうしたら良いですか？,952 635 153,,89 42,"['952', '635', '153', '89', '42']","['952', '635', '153']","['952', '635', '153']","['952', '635', '153', '89', '42']"
507,市職員への苦情がある。どこに言えばいい？,,1688,,['1688'],['1688'],[],['1688']
508,乗らなくなったバイクはどうしたらいいの？,,167 92,,"['167', '92']","['167', '92']",[],"['167', '92']"
509,パソコンのＨＤＤって何ゴミになりますか？,1784,,,['1784'],['1784'],['1784'],['1784']
510,ハチが家に巣を作って困ってるんやけど、どうすればいいやろ？,177,1117 727,,"['177', '1117', '727']","['177', '1117', '727']",['177'],"['177', '1117', '727']"
511,使用期限の過ぎた消火器はどうしたらいいですか？,390 1784,,169 277,"['390', '1784', '169', '277']","['390', '1784']","['390', '1784']","['390', '1784', '169', '277']"
512,指定難病とその診察医のリストはどのように入手できますか？,,917,55,"['917', '55']",['917'],[],"['917', '55']"
513,結婚したら旦那さんの扶養に入ろうかと思っています。すでに年払いした年金の手続きはどうしたらいいのですか？,1063,712 83,,"['1063', '712', '83']","['1063', '712', '83']",['1063'],"['1063', '712', '83']"
514,印鑑登録をしたいのですがどんな判子でもいいですか。,582,,5,"['582', '5']",['582'],['582'],"['582', '5']"
515,ポイ捨てが多いところに公共ゴミ箱は設置してもらえないのですか？,,1339,,['1339'],['1339'],[],['1339']
516,市県民税の特別徴収について詳しく教えてください。,981 321,561,1474 719 735 22 795 338 1208,"['981', '321', '561', '1474', '719', '735', '22', '795', '338', '1208']","['981', '321', '561']","['981', '321']","['981', '321', '561', '1474', '719', '735', '22', '795', '338', '1208']"
517,家の前の街灯が切れてます、交換はどこにお願いしたらいいですか？,1170,1602,1062 1050,"['1170', '1602', '1062', '1050']","['1170', '1602']",['1170'],"['1170', '1602', '1062', '1050']"
518,家族が死んだらどうすればいいですか。,175,488 193,102,"['175', '488', '193', '102']","['175', '488', '193']",['175'],"['175', '488', '193', '102']"
519,ひきこもりを相談できる窓口はありますか？,1294 311,,,"['1294', '311']","['1294', '311']","['1294', '311']","['1294', '311']"
520,クレジットカードや電子マネーで納税することはできますか？,563,,402 324 88,"['563', '402', '324', '88']",['563'],['563'],"['563', '402', '324', '88']"
521,溝の下水の臭いが酷いです。市での対応は？,1448,,697,"['1448', '697']",['1448'],['1448'],"['1448', '697']"
522,引っ越したばかりです。保険料などを引き落としを希望していますが、口座はどこでもよいのでしょうか？,13 194 515 158 120,402 507 553,248,"['13', '194', '515', '158', '120', '402', '507', '553', '248']","['13', '194', '515', '158', '120', '402', '507', '553']","['13', '194', '515', '158', '120']","['13', '194', '515', '158', '120', '402', '507', '553', '248']"
523,水道料金の支払いは引き落としは可能ですか？,677,,,['677'],['677'],['677'],['677']
524,水道料金をクレジットカードで支払うことはできますか？,677,,,['677'],['677'],['677'],['677']
525,代理で住民票を取得したい場合、委任状は何に書いていったら良いでしょうか？,558,62,396 517,"['558', '62', '396', '517']","['558', '62']",['558'],"['558', '62', '396', '517']"
526,市外へ引越しするときの手続のやり方を知りたいんやけど。,8,201 204,,"['8', '201', '204']","['8', '201', '204']",['8'],"['8', '201', '204']"
527,マイナンバーカードを作りたいのですがどうすればいいですか。,,987 692,1269 576 969 902,"['987', '692', '1269', '576', '969', '902']","['987', '692']",[],"['987', '692', '1269', '576', '969', '902']"
528,図書館の本が少ない,,109 1135,,"['109', '1135']","['109', '1135']",[],"['109', '1135']"
529,消費生活センターには誰でも相談できるんやろか？,741,,551 68,"['741', '551', '68']",['741'],['741'],"['741', '551', '68']"
530,市道の街灯が切れかかっていますが、どうしたらいいですか？,1170,1062 1602 1289 425 420,1050,"['1170', '1062', '1602', '1289', '425', '420', '1050']","['1170', '1062', '1602', '1289', '425', '420']",['1170'],"['1170', '1062', '1602', '1289', '425', '420', '1050']"
531,マンションの隣の空き地の草木が伸びているので、伐採してもらえませんか？,1296,,,['1296'],['1296'],['1296'],['1296']
532,住基カードは区役所などに直接行かないと発行できないのですか？,1437 53,115 1381,616 651,"['1437', '53', '115', '1381', '616', '651']","['1437', '53', '115', '1381']","['1437', '53']","['1437', '53', '115', '1381', '616', '651']"
533,小中学校で利用する教科書の出版元が知りたいです。,,221,,['221'],['221'],[],['221']
534,スチール缶とアルミ缶は分けなきゃならないの？,,63,,['63'],['63'],[],['63']
535,引っ越し日前でも住民票を移すことはできますか？,2 138 8,,,"['2', '138', '8']","['2', '138', '8']","['2', '138', '8']","['2', '138', '8']"
536,家の柱に虫食いを見つけました。シロアリなのかどうなのか確認してもらうにはどこに頼めばいいでしょうか,727,1117,,"['727', '1117']","['727', '1117']",['727'],"['727', '1117']"
537,幼児連れの家族が楽しめるイベントがあったら教えて下さい。,572 957 379,,,"['572', '957', '379']","['572', '957', '379']","['572', '957', '379']","['572', '957', '379']"
538,マイナンバーカードって見せてはいけないところがあるって聞いたのですが本当ですか。,902 969,692 1589,,"['902', '969', '692', '1589']","['902', '969', '692', '1589']","['902', '969']","['902', '969', '692', '1589']"
539,犬が電信柱におしっこをかけるので、臭いが酷い。役所で対応してもらえるのでしょうか？,,1134,,['1134'],['1134'],[],['1134']
540,使い残した乳液や化粧水は、そのまま排水口に流してもいいですか？,,1448,,['1448'],['1448'],[],['1448']
541,印鑑登録する印鑑は三文判でも登録できますか？,582,,5,"['582', '5']",['582'],['582'],"['582', '5']"
542,市税を納めずに滞納したままにしていると、どうなりますか？,,,543 791,"['543', '791']",[],[],"['543', '791']"
543,騒音の苦情ってどこに言うたらええんかな？,934 1503 1071,,,"['934', '1503', '1071']","['934', '1503', '1071']","['934', '1503', '1071']","['934', '1503', '1071']"
544,野焼きする方が近所にいるので市から注意をお願いするにはどうすればいいでしょうか,944,,,['944'],['944'],['944'],['944']
545,引っ越しをするとき、子供の就学手続きはどうすればいいか？,406,,,['406'],['406'],['406'],['406']
546,引っ越したばかりなので、地域のことをもっと知れるイベントがあれば参加してみたいのですが、どこに情報がありますか？,679,,,['679'],['679'],['679'],['679']
547,夜間の緊急診療所はどこに連絡すればいいの？,28 1137 1082,1206 991 491 1196,,"['28', '1137', '1082', '1206', '991', '491', '1196']","['28', '1137', '1082', '1206', '991', '491', '1196']","['28', '1137', '1082']","['28', '1137', '1082', '1206', '991', '491', '1196']"
548,放置された里山の害虫駆除を市にお願いできますか？,1117 727,1594 177 1612,,"['1117', '727', '1594', '177', '1612']","['1117', '727', '1594', '177', '1612']","['1117', '727']","['1117', '727', '1594', '177', '1612']"
549,もう日本には住まないのですが、保険や住民票などどうしたらいいですか。,671 143,,,"['671', '143']","['671', '143']","['671', '143']","['671', '143']"
550,本籍を変更する手続きを教えて欲しいんやけど。,,952,,['952'],['952'],[],['952']
